Nama,User,Isi,Rating,Label
 Pulau Mengkudu ,Umi K,"Pulau ini masih sepi, jadi belum banyak pengunjung yang datang. Mungkin karna pulau ini belum banyak di ketahui orang"" ya.. Aku sih kesini jg iseng aja karna dpt info dari temen. Akhirnya aku sm pacar kesini dan memang masih bagus pulau nya, keliatan alami. Apalagi buat yng mau menenangkan diri, cocok banget kesini, tmpt nya juga mudah kok di jangkau. Next mau kesini lagi lebaran sama temen-temen.",4,Positif
 Pulau Mengkudu ,Nisazhaa,Pantai ini benar benar kece. Cuma akses jalannya jauh sekali... Kalau mau kesini harus nyebrang naik perahu. Cuma begitu sampai kebayatlr dengan pantainya yang bersih,5,Positif
 Pulau Mengkudu ,violaaruan,Saya ke batu lapis pulau mengkudu. Bersama pak nelayan. Biaya nya 50rb perorang untuk menyebrang. Tempat nya bagus. Tp sangat panas di siang hari dan susah berlindung.,5,Negatif
 Pulau Mengkudu ,Johan P,"Pulau ini bersambung dengan daratan dikala air laut surut. Kita bisa jalan kaki dari daratan Sumatera, masalahnya belum ada jalan setapak yang memadai untuk menuju pinggirannya",3,Negatif
 Pulau Mengkudu ,fitiwul,"Pulau mengkudu yang sangat mempesona, keindahannya yang gak ada duanya. Perjuangan banget bisa sampe sini, naik sepeda motor naik gunung jalan berliku-liku sempit dan banyak bebatuan, belum lagi nyebrang kali yg jembatannya serem gitu hehe. Tapi seru banget, sampai ditempat tujuan kebayar semuanya!! Dan untuk yg gak mau ribet melewati itu semua untuk sampai di Pulau mengkudu ini silahkan naik perahu yg bisa disewa dari pantai-pantai yang berada disekitarnya. ",5,Positif
 Pulau Kelagian Lunik ,Salsabila Putri P,Salah satu spot foto terbaik selama tur Pahawang. Beruntung sempat berkunjung ke sini saat cuaca cerah dan ombak tenang.,5,Positif
 Pulau Kelagian Lunik ,Ihwana A,Salah satu destinasi wisata di Lampung dengan keindahan pantai sangat cocok untuk liburan keluarga dan mudah dijangkau,4,Positif
 Pulau Kelagian Lunik ,Dodi J,"Pulau kelagian lunik bagi saya tidak tergambarkan indahnya. Aplagi, disini keindahanyya begitu alami, masih belum banyak sentuhan tangan manusia. sayangnya, belum ada fasilitas mck yang memadai, dan fasilitas umum lain. ",5,Negatif
 Pulau Kelagian Lunik ,exclecia,"Pulau kecil dengan pantai yang indah. Berpasir putih yg lembut dan pantai yg bersih. Ombak juga tenang sehingga aman buat anak2. Penyebrangan bisa dr pelabuhan ketapang dan pantai clara. Klo saya lebih suka menyebrang dr pantai clara.. selain tempat parkir nyaman, aman juga tempat bilasnya cukup bersih. +- 45 menit menuju pulau kelagian lunik. Untuk tarif kapal di nego saja semurah mungkin. ",4,Positif
 Pulau Kelagian Lunik ,Viddy K,Pulau yang sangat bersih dan indah pemandangan sekitarnya. Tifak berpenghuni hanya masyarakat lokal yang datang pada saat wekend. Siapakan makanan dan minuman juga tikar jika andai ingin bersantai disana. Anda hanya akan dikenakana biaya parkir kapal sbsr 25k dan biaya sewa kapal kesana dr dermaga ketapang sekitara 500k utk 2 spot. Biaya snorkling sbsr 40k utk sewa alat. Permainan banana dan donut boat sesuai permintaan.,4,Positif
 Taman Nasional Bukit Barisan Selatan ,Anto H,ini adalah surga hutan tropis dan disini jika anda beruntung mungkin bisa melihat bunga rafflesia arnoldi yang langka. ,4,Positif
 Taman Nasional Bukit Barisan Selatan ,Muhammad S,"Untuk akses jalan sudah mulai bagus dan lancar. Hanya perlu sentuhan wisata lebih lanjut agar menarik perhatian para wisatawan, apalagi di kawasan ini terdapat bunga raflesia arnoldi...",3,Netral
 Taman Nasional Bukit Barisan Selatan ,Dombabujel,"Kita masuk kawasan ini menuju ke bakauheni setelah menikmati indahnya pantai tanjung setia, Krui. Banyak jalan berkelok dengan rimbunnya pepohonan dan banyak monyet seperti Baboon dipinggir jalan yang membuat kami waspada jika mereka lompat dan menerkam kami.",4,Positif
 Taman Nasional Bukit Barisan Selatan ,nomart_sagala,"Taman Nasional Bukit Barisan Selatan yang terletak di Kota Agung Kabupaten Tanggamus merupakan habitat dari Harimau Sumatera, Gajah Sumatera dan Badak Sumatera yang jumlahnya kian menurun. Sesuai namanya Taman Nasional ini didominasi oleh wilayah perbukitan dari Lampung s.d. Bengkulu, dan banyak tempat yg sulit dicapai karena memiliki kemiringan yang cukup ekstrim. Pada bulan maret 2015, Taman Nasional Bukit Barisan Selatan melakukan pelepasliaran Harimau Sumatera ke habitatnya. ",4,Netral
 Taman Nasional Bukit Barisan Selatan ,Fiqy,"Taman Nasional Bukit Barisan Selatan merupakan bagian dari pegunungan Bukit Barisan yang membentang di Sumatera. TNBBS berada di Propinsi Lampung, ada beberapa tempat masuk ke dalam area TNBBS, salah satunya melalui daerah di Kota Agung. Jika melakukan kunjungan wisata singkat, tidak perlu menggunakan Surat Izin Masuk Kawasan Konservasi (Simaksi). Namun, jika ingin melakukan kegiatan penelitian dan komersial, perlu mengurus di Kantor TNBBS beberapa hari sebelum kunjungan. Aktivitas yang bisa dilakukan yaitu trekking sekitar TNBBS dengan kondisi alam hutan tropis. Petugas dari TNBBS memandu selama trekking, ada banyak flora dan fauna yang bisa dilihat. Saya bertemu tupai terbang untuk pertama kalinya, lalu tarsius yang saya kira hanya ada di Sulawesi, ternyata juga ada disini, tumbuhan kantong semar, bunga bangkai, dan bergelantungan ala Tarzan di akan iliana. Selesai trekking, lalu bersih-bersih di air terjun yang tidak begitu besar namun airnya dingin. Penginapan tersedia dengan fasilitas seadanya. Jika ingin berkemah juga disediakan tempatnya.Hati-hati disini banyak sekali pacet, mulai yang kecil hingga besar ada. Persiapkan ramuan anti pacet jika berkunjung.",4,Netral
 Lampung Walk ,DhitaMoryta,"Lokasi nya persis di seberang Rumah Sakit Urip Sumohardjo. Banyak variasi makanan disini karena terdapat food court. Dan terdapat kolam renang, jika ingin membawa keluarga dengan anak kecil di rekomendasi kan kesini.",5,Positif
 Lampung Walk ,Ihwana A,Salah satu tempat liburan dan hiburan buat keluarga di Bandar Lampung dengan fasilitas kuliner dan water park ,4,Netral
 Lampung Walk ,Fithra,"Kalo pengen tempat kuliner yg lengkap dgn fasilitas rekreasi ditengah kota bandar lampung, maka disini pas banget. Bahkan saya bisa maen futsal dan badminton, dan anak saya berenang diwaterpark nya. Walau tempat parkirnya tdk terlalu luas tp nyaman sekali menghabis weekend disini. Makanan nya juga ga mahal, lapangan futsalnya enak, jatuh ga sakit.",5,Positif
 Lampung Walk ,vivimahesa,Mau cari makanan yg banyak menu nya bisa kesini. Jika pada pagi hari bisa ajak anak2 berenang disini juga. Komplit ada semua disini.,5,Positif
 Lampung Walk ,Jessica_candilicious,"Tempat pusat olahraga baru di bandar lampung. tempatnya besar, dan lengkap, ada lapangan basket, bultang, kolam renang, ada food court juga jadi abis olahraga lapar bisa makan. Tapi kurangnya harus booking juga jauh jauh hari,, lalu kadang uda booking juga pas datang dikasih ke orang lain,,menyebalkan sekali. Harganya menengah keatas. ",4,Positif
 Gapura Bandar Lampung ,Kocepgacul,"Gapura penanda masuk ke area bandar lampung, cocok buat foto dokumentasi sebagai tanda pernah menginjakkan kaki di kota bandar lampung.",4,Netral
 Gapura Bandar Lampung ,Ihwana A,Gapura Bandar Lampung adalah gapura yang terletak di Raja Basa sebagai tanda bahwa kita memasuki Kota Bandar Lampung ,4,Netral
 Gapura Bandar Lampung ,hobbytravelingADI,"Pintu Masuk Gapura Bandar Lampung, jalan raya terlalu ramai waktu jam siang dan lebih bagus jam tengah malam karena pencahayaan lampu lebih jelas, bagus atau menarik dan juga jalan raya sudah sepi.",5,Positif
 Gapura Bandar Lampung ,Boim B,Gapura mantab jagan lupa kalau ke bandar lampung wajib datang ke sini karna gapurannya bagus bgt.....!!!!!!!,5,Positif
 Gapura Bandar Lampung ,Muaz1977," Yang sangat menarik perhatian saya ialah, ada kalimat yang luar biasa yaitu kalimat tauhid (pengesaan Alloh sebagai Tuhan yang layak dipuja dan dipuji) dalam bahasa Arab gundul Laa ilaaha illalloh Muhamadurrosululloh artinya Tiada Tuhan selain Alloh dan Muhammad ialah utusan Alloh. Kalimat ini menunjukkan bahwa warga Kota Bandar Lampung ialah mayoritas muslim yang agamis dan harmonis.",5,Positif
 Museum Lampung ,DhitaMoryta,"Museum satu-satu nya di Lampung.. Cukup banyak benda bersejarah nya, cukup gampang menuju kesini. Dekat sekali dengan universitas Lampung.",4,Positif
 Museum Lampung ,Ihwana A,"Muslim Lampung adalah muslim yang memiliki bioskop mini untuk anak-anak sehingga bermanfaat ganda, selain untuk menyimpan benda bersejarah juga berfungsi sebagai tempat refreshing anak2 ",5,Positif
 Museum Lampung ,,"Pakiran cukup luas, koleksi cukup lengkap, pencahayaan ruang kurang sehingga koleksi tidak begitu terlihat detailnya. Ruangan pengap karena banyak pendingin yg tidak dinyalakan. Namun harga tiket masuk sangat terjangkau.",3,Negatif
 Museum Lampung ,rahmatakrima,"Museum ini secara bangunan sudah cukup baik, pemugaran museum tua satu ini telah dilakukan. Namun bagi saya kesadaran masyarakat untuk ke museum ini perlu digalakkan lagi sehingga suasanya bisa lebih hidup di hari biasa maupun weekend",3,Negatif
 Museum Lampung ,Nisazhaa,Banyak pelajaran yang bisa kita ambil ketika berkunjung ke museum ini.. Museum juga bersih. Taman depanpun tertata rapih.,4,Positif
 Pantai Bagus ,Kocepgacul,"Singgah sejenak sambil beristirahat diperjalanan karena kebetulan pantai ini letaknya tidak jauh dari jalan raya, pantainya cukup indah namun kurang terawat sehingga menimbulkan kesan yang biasa-biasa saja.",3,Negatif
 Pantai Bagus ,Umi K,"Pantai ini tidak sesuai dengan namanya karna air di pantai ini kotor dan banyak sampah di pantai nya. sebenarnya kalau pantai nya di rawat dengan baik, pasti akan banyak pengunjung yang tertarik kesini. Lokasi nya juga mudah di jangkau dan masuknya gak jauh dari jalan raya. Tapi kalau hanya ingin merasakan vit sea gak masalah datang kesini tapi kalau yang benar-benar mau berlibur sepertinya kurang deh. Saran perbaiki perawatan nya dan kebersihan nya.",3,Negatif
 Pantai Bagus ,pawiro24,"Pantai ini namanya Pantai Bagus ...sebenarnya memang bagus tapi perawatannya gak bagus, banyak sampah berserakan , lokasinya mudah dijangkau karena tidak jauh dari jalan utama. Lumayan buat refreshing.",5,Negatif
 Pantai Bagus ,DC754369,"Liburan kemarin saya pergi ke bandarlampung, yah iseng2 untuk jalan2 ke arah kalianda lampung. Di pinggir jalan saya dan teman berhenti untuk singgah di Pantai ini. Pantai nya indah dan tidak jauh dari pinggir jalan Utama. Sayang, pantai ini kurang perawatan sehingga kelihatan standar saja. Tapi untuk sekedar melepas rasa penat saya rasa pantai ini cocok kok.",4,Negatif
 Pantai Bagus ,dekaes,"Lokasinya tidak jauh dari Jalan Lintas Sumatera. Pantainya bagus dan pasirnya lembut, hanya saja banyak sampah berserakan. Secara umum kondisinya tidak terawat.",3,Negatif
 Pantai Klara Lampung ,Johan P,"Klara adalah singkatan dari klapa rapet. Memang pohon kelapa disini ditanam terlalu rapat. Pantai ini lumayan bagus, berenang buat yang tak berani di tempat dalam atau anak balita memang bagus. Suasana nya lumayan.",3,Positif
 Pantai Klara Lampung ,Arawindadit,"pantai Klara diambil dari nama ""Klapa/kelapa rapat"". Mengapa? Karena ketika kita menuju pantai ini banyak sekali pohon kelapa Sekarang pantai ini sudah kurang bagus, airnya sudah jorok",3,Negatif
 Pantai Klara Lampung ,exclecia,Pantai berpasir putih dengan ambak yang kecil. Ada pantai Klara 1 dan ada Pantai Klara 2. Tp kedua pantai ini sama aja. Misalkan kurang cocok dengan Pantai 1 bs pindah ke pantai 2 tanpa di pungut karcis masuk lagi tinggal menunjukkan karcis dr pantai sebelumnya. Sangat cocok untuk liburan bersama keluarga. Terdapat pula pondok2 di tepi pantai untuk berteduh. Pantai juga menjadi tempat latihan bagi TNI AL. Dari sini kita juga bisa nenyebrang ke Pulau Pahawang dan Pulau Kelagian. Tempat bilas dan toiletnya pun cukup bersih. ,4,Positif
 Pantai Klara Lampung ,vera m,"Pantainya masih asri, fasilitas nya ada banyak gazebo di sepanjang pantai. Kalau sedang pasang tidak bisa turun ke laut karena air laut nya bisa sampai ujung pantai. Ada spot foto berupa jembatan pelangi.",5,Positif
 Pantai Klara Lampung ,AlviJO,"Belum ke lampung kalau belum ke pantai adalah slogan yg pas.. salah satu nya mungkin bisa termasuk pantai klara.. ada klara 1, ada klara 2.. cuma sayank, pas datang pas lagi ada pasang dan efek badai, hehehe..",5,Netral
 Nuwo Sesat Olok Gading ,Umi K,"Aku tinggal di lampung tapi aku bukan asli orang lampung. jadi karena penasaran dengan rumah adat dari masyarakat lampung, jadi aku berkunjung kesini sama teman- teman ku untuk sekedar menambah wawasan kami. Nuwo sesat adalah nama rumah adat masyarakat lampung, bentuk nya yang unik dan seperti rumah panggung ini memiliki keistimewaan sendiri. ini adalah sebuah kampung yang banyak di huni oleh masyarakat asli lampung. Pokoknya bagi yang ingin mengenal lampung, sebaiknya mampir kesini deh.",5,Positif
 Gigi Hiu Kelumbayan ,Jalan_Zack,"Pantai batu Layar atau pantai Gigi Hiu merupakan salah satu pantai fotogenik yang sangat cocok sebagai tempat selfie yang paling eksotis.Kendalanya adalah akses menuju lokasi pantai Karang Layar ini, berada di kabupaten Tanggamus kota kecil dari Bandar Lampung butuh waktu 3-4 jam perjalanan, pantai Batu Layar ini adalah gugusan pantai sepanjang teluk Semaka jaraknya sekitar 7 kilometer dari wisata yang dikenal dengan ikan lumba-lumba Teluk Kiluan. Tepatnya berada di desa Pegadung atau Pegadungan.Pantai terindah di Lampung pantai Gigi Hiu, keindahan karang yang menjulang bahkan hingga belasan meter dan tajam adalah�point of view�keindahannya. Pengalaman baik jika kalian berkesempatan dapat berkunjung ke pantai yang mempesona ini.Arahkan kendaraan yang kamu tumpangi menuju Padang Cermin, Perjalanan yang perlu anda perhatikan adalah kondisinya jalannya. Sebaiknya gunakan kendaraan roda dua atau kendaraan off-road jika ingin ke sini. Dengan rombongan yang banyak membuat perjalanan lebih nyaman. Efektif 5 hingga 10 orang adalah team yang optimal, berpergian secara group dengan beberapa teman untuk datang ke pantai Karang Gigi Hiu di Lampung ini akan lebih seru jika ingin mengeksplorasi pesona fotografi panorama alam terbaik Lampung. Menjelang sore, keindahan pantai ini sangat mempesona dengan kesyahduan senja.Jepret-jepret semua sudut foto terbaik dari kamera yang kita punya, pemandangan di sini sangat mengagumkan. Semua moment disini sangat epik kamu harus punya memory besar untuk menyimpan jepretan pesona alam di desa Pegadungan ini. Tidak ada batasan waktu untuk datang ke sini saat pagi, siang dan sore atau malam, jika kalian beruntung di Pantai Karang Hiu ini akan mendapatkan gugusan bintang milkyway pada malam hari yang cerah dan air laut sedang surut. Mantai disini akan menyita waktu liburan anda seharian, saat ke Lampung. Kalau kamu mau puas berfoto ke sini, kamu harus otw di pagi hari menikmati perjalanan alam pedesaan, jangan lupa membawa bekal karena saat ini belum tersedia warung-warung makan di lokasi ini.Pantai Gigi Hiu di Lampung ini merupakan gugusan pantai berada di teluk Semaka yang berhadapan langsung ke Samudra Indonesia tidak aneh ombak yang besar dan tinggi merupakan pemandangan yang menakjubkan, tapi itu merupakan ancaman terbesar jika hempasan ombak besar menerjang kita, dan sangat diingat jika kamu terjebak sedang naik keatas karang dan laut sedang pasang kamu jangan turun, tunggu diatas lebih aman, karena ombak yang besar dan air pasang dapat menenggelamkan kamu! Perlu hati-hati dan menjaga peralatan yang di bawa, bawalah kantung tahan air yang bisa menjaga peralatan fotografi kamu saat menyeberang naik ke batu karang, jangan lupa bawa sunblok jika ingin berlama-lama diatas karang, panas matahari siang sangat menyengat saat dibatu karang, Dan harus jadi note! Bawa air minum dalam botol yang dapat dibawa pulang lagi bukan kemasan sekali pakai kalau ingin pantai ini selalu bersih dan kamu tidak dehidrasi...",4,Positif
 Gigi Hiu Kelumbayan ,Alan P,"Mungkin ditempat inilah bagi para fotgrafer utuk bisa berkreasi. Landscape batu yg menjulang keatas dan debaran ombak, membuat view yg sangat unik. sangat disayangkan kondisi jalan tak terawat. Tapi semua terbayarkan saat berhasil jepret begini...",4,Positif
 Gigi Hiu Kelumbayan ,Anto H,"lihat hamparan karang besar yang dianalogikan seperti gigi hiu ini sangat indah terutama saat sunset. landscapenya pun tidak mengecewakan, sangat cantik bagi yang suka berswafoto alam saya anjurkan datang kesini",5,Positif
 Gigi Hiu Kelumbayan ,NovaNurAziyah,"Mungkin untuk yang tinggal di Lampung, wisata Gigi Hiu ini atau masyarakat sekitar sebut dengan Batu Layar sudah tidak asing lagi. Tapi saya menyarankan banget buat coba dateng ke tempat ini langsung, pemandangannya dan spot foto yang keren banget bisa kita dapatkan dari sini, gak usah kudu ke bali guys. Kalau ke Kiluan pasti kurang lengkap banget kalau gak langsung bablas ke tempat ini!",5,Positif
 Gigi Hiu Kelumbayan ,Rendra N,"Cukup menyewa perahu dari teluk kiluan, perjalanan termudah di bandingkan harus melewati perjalanan darat yang memakan waktu dan tenaga ekstra.Recomended untuk para potographer yang hobi lanscape.",4,Positif
 Pulau Condong ,Kocepgacul,"Pulau dengan pemandangan alam yang indah, pasir putih yang lembut menghiasi bibir pantai. ada gua batu yang unik dan instagramable banget dan masih banyak lagi spot foto yang bagus untuk diabadikan.",4,Positif
 Pulau Condong ,Umi K,"Pulau ini lokasi nya gak jauh dari Pantai Pasir Putih, pasti udah pada tau ya Pantai Pasir putih itu dimana. Sebenernya aku baru denger nama Pulau ini, kata nya sih bagus dan karna aku penasaran, jadilah aku sama temen-temen ku main kesini. Kalau mau kesini harus bawa bekal makanan ya biar gk kelaperan. Pantai ini emang bagus banget, pasir putih nya yang indah, di hiasi banyak gua disekitarnya dan memang pengujung masih sedikit jadi seperti pulau pribadi. hehe Cuma sayang pas aku kesini, pantai nya kotor karna tangan-tangan orang yang tidak bertanggung jawab. But aku suka banget dan menikmati keindahan pantai ini. Kalau mau ke Pulau ini siapin budget juga untuk sewa perahu ya, rata'' 200 - 250rb harga nya. Dan jangan lupa tetap jaga keselamatan selama perjalanan dan selama di Pulau ini.",4,Positif
 Pulau Condong ,Maya S,"Di lihat dari pantai pasir putih pulau itu kyak deket banget, kata si penyewa perahu di sana rame banget banyak yg jual makanan dan banyak pengunjungKami di ksih tarif 250rb buat nyebrang bolak balik. Sekitar 20 mnit di tengah laut sampai lah ke pulau condong, dan wow bangetttt di pulau itu tidak ada satu pun yg jual makanan dan wisatawan hanya ada nelayan yg cari cumi cumi. Pemandangan yg cukup bagus sunyi sepi tenang adem dgn kicawan burung dan suara ombak. Banyak batu karang yg tajam dan ranting"" pohon yg betseraka.",2,Positif
 Pulau Condong ,sevenluckystarz,"Pasir nya halus putih dengan goa"" batu bagus dan pohon kayu unik untuk spot foto yang bagus, hanya sayang pulau ini tidak terawat, banyak di kotori orang"" yang tidak perduli kebersihan",3,Negatif
 Pulau Condong ,fitiwul,"Dari pantai pasir putih kami menyebrang dengan tarif 200rb untuk satu perahu. Dan bisa sambil menikmati angin yg sepoi-sepoi serta ikan-ikan kecil yg ada disekitar perahu, menyenangkan bukan?Sesampainya di pulau condong kita bisa menikmati pemandangan yg luar biasa, bersantai-santai dipinggiran pantai dengan banyaknya pepohonan. Sangat disayangkan jika lain waktu tak berkunjung ke pulau condong ini lagi.. see you next time?!",4,Positif
 Puncak Mas ,yopiefranz,Ajak keluarga kemari untuk duduk-duduk dan foto-foto dengan suasana yang berbeda.Suka foto di platform kayu di atas pohonnya.Kurang suka aja dengan rasa masakan yang ada. Nice place...!!,4,Negatif
 Puncak Mas ,dewi Lestari N,Buat yg mau ngajak anak main disini juga bagus kok..banyak tempat main anak nya....view juga bagus kok...saran aja kalau mau kesini pagi pagi atau menjelang sore..biar adem..jng lupa kaca mata hitam dan topi...spot buat selfi pun banyak,4,Positif
 Puncak Mas ,liafebrialina01,Saat masuk dan biaya nya 20rb biasa aja tapi begitu masuk dan pemandangan ataupun fasilitasnya ya biasa aja sih cuma ya asik tempatnya kalo pergi sama temen- temen. Fasilitas lengkap ditambah ada life musik tiap malem.,3,Netral
 Puncak Mas ,Yanti Y,"Tempat nya lumayan keren sepintas berasa kaya di Puncak Jawa Barat,, Dari atas keliatan kota Lampung, biaya masuk lumayan murah hanya 20rb/orang.",5,Positif
 Puncak Mas ,Ihwana A,Salah satu destinasi wisata di Bandar lampung Lampung yang terletak di ketinggian Puncak Mas. Menawarkan alternatif wisata alam untuk keluarga ,5,Netral
 Pulau Pahawang ,jonlim107,"Maaf, saya ingin bertanyaDari bakauheni enakan ke pulau pahawang dulu atau ke teluk kiluan dulu ya?Dan dari bakauheni berapa jam ke pulau pahawang / teluk kiluan?Terima kasih banyak atas bantuan infonya",5,Netral
 Pulau Pahawang ,rolloverbeethoven,Pulau yg penuh potensi dan cukup bersih. Homestay yg menarik. Tapi harap batasi jumlah snorkler demi kelangsungan alam,4,Positif
 Pulau Pahawang ,liafebrialina01,"Tempat snorkling terbaik, airnya bening dan bisa liat nemo serta terumbu karang super cantik, fasilitas di pulau juga mendukung seperti mushola dan toilet.",5,Positif
 Pulau Pahawang ,purirohmawati,"Pahawang adalah pantai indah yang lokasinya tidak jauh dari Jakarta, terjangkau, dan banyak sekali tour n travel yang membuka open trip tipe backpacker kesini. Ada banyak penginapan berupa rumah warga yang disewakan. lebih murah jika rombongan untuk sewa kapal. banyak spot bagus bawah laut maupun pantainya. sangat direkomendasikan bagi yang ingin snorkeling dengan harga terjangkau dan dekat.",4,Positif
 Pulau Pahawang ,antonpasai,"Sangat elok dan asri.penduduk lokal yg arip,sangat terbuka kepada pengunjung.suatu saat pasti berkunjung lagi baik bersama keluarga atau rekan kerja.sungguh tempat yang nyaman untuk melepas kesenangan bersama sama.Hanya untuk tempat penjual oleh2 yang sulit di temui dan tempat areal parkir sedikit.Tetapi itu tidak mengurangi keindahan pulau pahawang.Mari kunjungi pulau pawang yang cocok untuk menyelam menikmati keindahan dalam airnya.",3,Positif
 Vihara Thay Hin Bio ,Meyer75,"Ketika belanja oleh-oleh di Toko Aneka Sari Rasa tidak sengaja lihat vihara ini karena lokasinya yang tepat berseberangan dengan toko oleh-oleh tersebut. Vihara tempat ibadah umat Budha merupakan vihara terbesar dan tertua yang berada di kota Bandar Lampung dan menjadi saksi bisu letusan Gunung Krakatau. Usia vihara ini sudah mencapai 167 tahun.Pada saat letusan, walaupun terdapat kerusakan namun vihara ini tetap berdiri kokoh dan direnovasi seperti yang ada saat ini.Dan sampai saat ini vihara ini masih aktif digunakan oleh umat Budha untuk beribadah dan dibuka juga untuk umum tanpa dipungut biaya.Arti nama dari Vihara Thay Bin Hio sendiri adalah besar dan jaya.",4,Netral
 Vihara Thay Hin Bio ,mmgsmmgs,"Vihara ini adalah yang tertua di Lampung, menjadi saksi bisu letusan Gunung Krakatau. Lokasinya persis di sentra oleh-oleh Yen-Yen di Teluk Betung.",3,Netral
 Vihara Thay Hin Bio ,Jessica_candilicious,"Vihara ini sangat terkenal di Bandar Lampung. Banyak kaum Buddhist yang sering kesini untuk beribadah, Dan vihara ini sering mengadakan acara atau pertunjukan pada saat imlek, cap gohmed dan acara lainnya. ",4,Netral
